registration_number,name,status
PF000243,Thomson & Company Property Management Services Ltd,Active
PF000451,THOMSON HOMES LTD,Expired
PF000762,Thomsons UK Limited,Active
PF000248,Thorntons LLP,Expired
PF000262,TLC Property Management Ltd,Active
PF000261,Tollcross Housing Association Limited,Active
PF001084,Tomintoul and Glenlivet Development Trust,Active
PF000543,Toner and McCartney LLP,Active
PF000751,Tornagrain Services Limited,Active
PF000755,Total Property Solutions (Scotland) Limited,Expired
PF001032,Touchstone Corporate Property Services Limited,Active
PF000857,Town Property Management Ltd,Active
PF000285,Trafalgar Housing Association Limited,Active
PF000170,Trinity Factoring Services Ltd,Active
